question,ground_truth
承建重难点、创优或采用‘四新’成果的工程需系统收集哪些资料,对于承建重难点、创优或采用“四新”成果的工程，相关单位必须按照规定系统全面地收集、整理和归档资料。这些资料涵盖从项目上场策划到竣工验收各个阶段的完整内容，具体包括文件、方案、资料以及影像记录等。在收集整理过程中，还需注意总结并提炼出质量成果。此外，各单位每年需汇报“四新”成果的进展情况，并在项目完工后，由总工程师负责组织将有关申报优质工程的资料以及总结提炼的质量成果移交至公司技术中心。
优质工程和QC成果的获奖文件应交由哪个部门归档,各单位优质工程和 QC 成果的获奖文件、申报材料及证书复印件等成果文件的纸质及电子版材料，应交公司技术中心归档。
项目完工后，申报优质工程的相关资料和质量成果应移交至哪个部门？,项目完工后，各单位总工程师要负责组织将有关申报优质工程资料、总结提炼的质量成果移交至公司技术中心。
各单位质量管理部门的纸质资料应如何管理,各单位质量管理部门的纸质资料管理需遵循专人、专柜、专盒的原则，实行严格的专项管理。具体而言，必须指定专人负责资料的保管与维护，确保责任落实到人；同时，需配备专用的档案柜和档案盒，对纸质资料进行分类存放与物理隔离，以保障资料的安全性、有序性和可追溯性。此外，所有教育培训等活动的纸质资料均需纳入建档管理体系，确保资料完整并符合归档要求。
检验批及施工资料验收不合格的工程在验工计价时如何处理？,检验批及施工资料验收不合格的工程，在按规定要求改正之前，验工计价时暂按未完工程处理。
施工过程中工程资料记录应与什么保持同步,施工过程中，工程资料记录应与施工现场保持同步。各单位工程项目必须按规定做到记录与施工同步，坚决杜绝内业资料与施工现场不符、不同步的现象。
工序或工程验收合格后，必须及时填写哪些记录表,凡经验收合格的工序或工程，各单位必须按规定及时填写检验批、分项、分部和单位工程验收记录表，并撰写单位工程质量总结纳入施工总结管理。
缺少的1200吨提梁机相关内业资料包括哪些具体内容？,"根据整改回复单中关于“缺少1200吨提梁机技术质量安全交底资料和技术工艺文件等内业资料”的整改内容，缺少的具体内业资料及后续补充情况如下：

1.  **制造工艺文件**：已进行编制、审核及签发。
2.  **质量控制计划（ITP）**：已进行编制、审核及签发。
3.  **监理大纲**：已进行编制、审核及签发。
4.  **安全技术交底资料**：已对制造工艺文件进行了安全技术交底。
5.  **焊接工艺评定**：正在制定中，计划制作3组焊评。
6.  **来料钢板取样送检记录**：已对来料钢板进行取样送检。

综上所述，需补充的内业资料核心包括制造工艺文件、质量控制计划（ITP）、监理大纲、安全技术交底记录、焊接工艺评定报告以及材料进场检验报告。"
根据整改要求，需要补齐石雄造桥机项目的哪类资料,"根据整改要求，需要补齐石雄造桥机项目的原材料复检资料。

具体背景为：在检查石雄造桥机项目原材检验资料时，发现仅有钢板的复检资料，缺少螺栓、型材等材料的复检报告。因此，整改的核心任务是补充完整该项目所有相关原材料（包括钢板、螺栓、型材等）的复检报告及相关资料。"
理化试验委托单中，型号/牌号为SR T717-20036/52101的材料规格是多少,根据提供的理化试验委托单内容，型号/牌号为 SR T717-20036/52101 的材料规格为 400*400。
理化试验委托的参考标准是哪一项国家标准,理化试验委托的参考标准是 GB/T 1591-2018《低合金高强度结构钢》。
针对1000吨架桥机零件尺寸报检表格未显示件号的问题，采取了什么整改措施？,针对1000吨架桥机零件尺寸报检表格未显示件号导致无法追溯零件的问题，已按要求在零件尺寸检查表中增加了检验零件的件号，以确保报检表格能够准确追溯对应零件。
构件堆叠存放时未设置木垫可能导致什么结果,构件在堆叠存放时若未设置木垫，会导致构件在存放过程中产生变形。因此，规范要求车间内各类构件应规范整齐摆放，且在多层堆叠存放时必须设置支撑木垫，以防止此类质量问题的发生。
钢板下料后的余料标记缺少哪些重要信息,钢板下料后的余料标记缺少炉批号这一重要信息。检查发现，现有的余料标记仅包含板厚和材质，但未标注炉批号，这不符合材料管理要求。后续需对余料进行管理，确保在余料上明确、清晰地标记所涉及材料的所有重要信息，包括补全缺失的炉批号。
整改要求中对板单元加劲肋焊缝外观检验情况的记录有何具体规定？,整改要求中明确规定，在1000吨架桥机的组装后资料里，必须显示板单元各类焊缝的外观检测情况。这一规定旨在解决此前板单元未设置报检停滞点，且组装后的报检表格无法体现板单元加劲肋焊缝外观检验情况的问题，确保相关质量检验信息的完整性和可追溯性。
箱型焊接矫正后需要检查哪些关键尺寸并在检验表格中体现,在箱型焊接矫正后，需要检查并体现在检验表格中的关键尺寸包括箱型的长、宽、对角线以及扭曲度。这些数据的检查和记录是为了确保箱型结构的几何尺寸符合工艺要求和质量标准。
1000吨门吊安装方案的一、二级交底原先缺少什么关键要素,"根据整改通知单的内容，1000吨门吊（即罗密港内架动项目重件码头1000t门式起重机）安装方案属于超危大工程。在整改前，该方案的一、二级交底材料中缺少的关键要素是**被交底人的签字**。

具体而言，检查发现虽然有一、二级交底的记录，但缺少了接受交底人员的亲笔签名确认；同时，该方案的三级交底材料完全缺失。针对这一问题，后续已补齐了相关的签字及完整的交底材料。"
1250吨提梁机安装方案存在哪些交底材料缺失问题？,"1250吨提梁机安装方案（属于超危大工程）存在的交底材料缺失问题主要包括以下两点：

1.  **缺少三级交底材料**：该方案的第三级安全技术交底文件不完整或缺失。
2.  **一级、二级交底缺少被交底人签字**：虽然有一级和二级交底记录，但相关文件中缺乏被交底人的签名确认，导致交底手续不全。"
500吨跨线提安装方案在三级交底方面存在什么问题,500吨跨线提安装方案在三级交底方面存在的问题是：三级交底不全面，未对现场施工工人进行交底。
焊缝版号DJZ05-5的检测级别是几级,"根据提供的焊缝检测数据表，焊缝版号 DJZ05-5 对应的检测级别为 III 级。

具体信息如下：
*   **焊缝版号**：DJZ05-5
*   **检测级别/检查等级**：III

该结论直接依据表格中“焊缝版号”列与“检测级别/检查等级”列的对应关系得出。"
焊缝版号DJZ03-3的检测标准依据是什么？,"焊缝版号 DJZ03-3 的检测标准依据是 GB/T1345。

根据提供的焊缝检测记录表，在“焊缝版号”为 DJZ03-3 的行中，“检测标准/轻微标准”一栏明确标注为 GB/T1345。该标准通常指《钢焊缝手工超声波探伤方法和探伤结果分级》（GB/T 11345），用于指导超声波探伤（UT）的操作及结果判定。"
在焊缝检测表中，DJZ06的检测长度为多少毫米？,在焊缝检测表中，DJZ06的检测长度为18200毫米。
